Title,Location,Km,Body,Seats,Fuel,Engine,Transmission,Colour,Number of owners,Import,Wof,Reg,Final bid,Result,Link
 2006 Toyota Corolla   Gl ,"Christchurch City, Canterbury ","   255,943km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Silver ,    3 owners , :   NZ New ,    Oct 2022 ,    Jul 2022 ,"$2,300", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3292882548?rsqid=7f2977cad1ff4514a7fc597b2251f557-001
 2008 Toyota Vanguard ,"Palmerston North, Manawatu ","   108,464km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Silver ,    1 owner , :   Imported ,    Expired ,    Aug 2022 ,"$11,450", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/vanguard/listing/3296507363?rsqid=7f2977cad1ff4514a7fc597b2251f557-001
 2016 Mercedes-Benz GLE 350 d   AMG Line ,"Auckland City, Auckland ","   53,500km ",   RV/SUV ,,   Diesel ,,   Automatic ,    Metallic Grey ,, :   Imported ,    Nov 2021 ,    Nov 2021 ,"$59,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mercedes-benz/gle-350-d/listing/3292260398?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2009 Toyota Corolla   Axio ,"Waitakere, Auckland ","   93,000km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Blue ,    1 owner , :   Imported ,    Expired ,    Nov 2021 ,"$5,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3266822260?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 1993 BMW 540i   A M60 ,"Hamilton, Waikato ","   300,000km ",   Sedan ,,   Petrol ,,,    Blue ,, :   Imported ,,,"$2,030", Reserve met ,https://www.trademe.co.nz/a/motors/cars/bmw/540i/listing/3284173969?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2012 Honda CR-V   Sport ,"Napier, Hawke's Bay ","   130,019km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Crystal Black ,    3 owners , :   NZ New ,    Sep 2022 ,    Dec 2021 ,"$17,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/3284158106?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2005 Toyota HIACE   2.7 WIDEBODY *10 SEATER* 4WD ,"Botany Downs, Auckland ","   128,900km ",   Van ,   10 ,   Petrol ,,   Automatic ,    White ,,,    Oct 2022 ,,"$21,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/hiace/listing/3284164896?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2001 Ford Falcon   Auii Xr8 4Fa ,"Kapiti, Wellington ","   220,000km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Red ,    4 owners , :   NZ New ,    Dec 2021 ,    Feb 2022 ,"$6,200", Reserve met ,https://www.trademe.co.nz/a/motors/cars/ford/falcon/listing/3284231234?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2008 Jaguar XJ   SOVEREIGN TDVI LWB ,"Kerikeri, Northland ","   167,330km ",   Sedan ,,   Diesel ,,   Tiptronic ,    Black ,    2 owners , :   Imported ,    Expired ,    May 2022 ,"$16,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/jaguar/xj/listing/3284235658?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 1994 Toyota Dyna ,"Halswell, Canterbury ","   295,000km ",   Ute ,   6 ,   Diesel ,,,    Green ,, :   Imported ,    Expired ,    Nov 2021 ,"$4,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/dyna/listing/3284275801?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2006 Nissan Lafesta ,"Christchurch City, Canterbury ","   145,000km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Grey ,    1 owner , :   Imported ,    Sep 2022 ,    Mar 2022 ,"$2,900", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/lafesta/listing/3288452461?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2008 Toyota Vellfire   2.4z 7 seaters ,"Waitakere, Auckland ","   123,000km ",   Van ,   7 ,   Petrol ,,   Automatic ,    pearl white ,    New , :   Imported ,,,"$14,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284273789?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2008 Toyota Vellfire   2.4z 7 seaters ,"Waitakere, Auckland ","   122,000km ",   Van ,   7 ,   Petrol ,,   Automatic ,    purple ,    New , :   Imported ,,,"$13,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/vellfire/listing/3284277123?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2012 Honda Odyssey   m aero sport package ,"Waitakere, Auckland ","   130,184km ",   Station Wagon ,   7 ,   Petrol ,,   Automatic ,    Purple ,    New , :   Imported ,,,"$10,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/honda/odyssey/listing/3284288887?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2018 Holden Trailblazer   LTZ 7 Seat NZ New  ,"Palmerston North, Manawatu ","   70,972km ",   RV/SUV ,   7 ,   Diesel ,,   Automatic ,    Grey ,    1 owner , :   NZ New ,    Sep 2022 ,    Jan 2022 ,"$43,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/holden/trailblazer/listing/3284299006?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2014 Nissan Leaf   Autech ,"Palmerston North, Manawatu ","   38,500km ",   Hatchback ,   5 ,   Electric ,,   Automatic ,    Pearl White ,    1 owner , :   Imported ,    Jul 2022 ,    Sep 2022 ,"$9,990", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/leaf/listing/3284309081?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 1999 Suzuki Grand Vitara   Wjlx2 ,"Napier, Hawke's Bay ","   226,193km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Gold ,, :   NZ New ,    Jul 2022 ,    Jul 2022 ,"$3,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/suzuki/grand-vitara/listing/3284337858?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 1973 Holden Kingswood BELMONT   BELMONT  ,"Manukau, Auckland ","   999,999km ",   Sedan ,,,,   Manual ,    Black ,,,,,"$13,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/holden/kingswood/listing/3284335523?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2015 Porsche Cayenne   Diesel ,"Christchurch City, Canterbury ","   62,000km ",   RV/SUV ,   5 ,   Diesel ,,   Automatic ,    White ,    2 owners , :   NZ New ,    Mar 2022 ,    Mar 2022 ,"$69,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/porsche/cayenne/listing/3296252933?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2006 Mazda MPV ,"Whanganui, Whanganui ","   118,571km ",   RV/SUV ,   8 ,   Petrol ,,   Automatic ,    Brown ,    1 owner , :   Imported ,    Sep 2022 ,    Nov 2021 ,"$6,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/mazda/mpv/listing/3261112123?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2007 Toyota Auris ,"Waitakere, Auckland ","   185,000km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    Blue ,    1 owner , :   Imported ,    Oct 2022 ,    Jan 2022 ,"$4,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/auris/listing/3296511710?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2018 Subaru Outback   3.6R ,"North Shore, Auckland ","   102,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Green ,    2 owners , :   NZ New ,    Oct 2022 ,    Oct 2022 ,"$32,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3300654965?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2007 Toyota Blade   G alloy wheels ,"Waitakere, Auckland ","   117,461km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    Pearl White ,    New , :   Imported ,,,"$7,980", No reserve ,https://www.trademe.co.nz/a/motors/cars/toyota/blade/listing/3284344981?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2014 Toyota Hilux   2WD 3.0TD DC UTE 5M ,"Whangarei, Northland ","   247,236km ",   Ute ,   5 ,   Diesel ,,   Manual ,    White ,    1 owner ,,    Jun 2022 ,,"$21,900", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/hilux/listing/3284346000?rsqid=645bea9bfb2c45a5b182db6671ef6694-001
 2016 Mercedes-Benz GLE 350 d   AMG Line ,"Auckland City, Auckland ","   53,500km ",   RV/SUV ,,   Diesel ,,   Automatic ,    Metallic Grey ,, :   Imported ,    Nov 2021 ,    Nov 2021 ,"$59,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mercedes-benz/gle-350-d/listing/3292260398?rsqid=3bc82c698a5b4f14b6bf5434c173cb9b-001
 2009 Toyota Corolla   Axio ,"Waitakere, Auckland ","   93,000km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Blue ,    1 owner , :   Imported ,    Expired ,    Nov 2021 ,"$5,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3266822260?rsqid=3bc82c698a5b4f14b6bf5434c173cb9b-001
 1993 BMW 540i   A M60 ,"Hamilton, Waikato ","   300,000km ",   Sedan ,,   Petrol ,,,    Blue ,, :   Imported ,,,"$2,030", Reserve met ,https://www.trademe.co.nz/a/motors/cars/bmw/540i/listing/3284173969?rsqid=3bc82c698a5b4f14b6bf5434c173cb9b-001
 2001 Mazda Tribute ,"Wellington City, Wellington ","   154,000km ",   RV/SUV ,,   Petrol ,,   Automatic ,    RED ,    1 owner , :   Imported ,    Expired ,    Expired ,"$5,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/mazda/tribute/listing/3299304156?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2013 Holden COMMODORE   VF SV6 S/W  ,"Palmerston North, Manawatu ","   125,500km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Green ,, :   NZ New ,    Dec 2021 ,    Jan 2022 ,"$21,990", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/holden/commodore/listing/3293901490?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2013 Ford Mondeo   Zetec 2.0TD ,"Palmerston North, Manawatu ","   159,300km ",   Other ,   5 ,   Diesel ,,   Automatic ,    Black ,, :   NZ New ,    Aug 2022 ,    Jan 2022 ,"$8,990", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/ford/mondeo/listing/3293901767?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2006 Toyota Caldina ,"Auckland City, Auckland ","   159,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Jun 2022 ,    Jan 2022 ,"$4,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/caldina/listing/3285829728?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2007 Nissan Teana ,"Franklin, Auckland ",   200km ,   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,, :   Imported ,,,"$1,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/teana/listing/3296337425?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 1990 Chevrolet C1500 ,"Kerikeri, Northland ","   303,099km ",   Ute ,   3 ,   Petrol ,,   Automatic ,    Black ,,,,,"$13,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/chevrolet/c1500/listing/3284419269?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2010 Nissan Teana ,"New Lynn, Auckland ","   105,600km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Grey ,    1 owner , :   Imported ,    Feb 2022 ,    Expired ,"$10,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/teana/listing/3284444542?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2007 Hyundai Elantra ,"Hamilton, Waikato ",   112km ,   Sedan ,   5 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Sep 2022 ,    Apr 2022 ,"$3,200", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/hyundai/elantra/listing/3284456606?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2012 MINI One   NZ New ,"North Shore, Auckland ","   107,900km ",   Hatchback ,   4 ,   Petrol ,,   Manual ,    Red ,    2 owners , :   NZ New ,    Mar 2022 ,    Jan 2022 ,"$8,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/mini/one/listing/3285919884?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2014 Jaguar XF   Luxury Facelift ,"Auckland City, Auckland ","   68,988km ",   Sedan ,,   Petrol ,,,    Silver ,    1 owner , :   Imported ,    Jan 2022 ,    Feb 2022 ,"$19,999", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/jaguar/xf/listing/3284457781?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2006 Ford   Tran ,"Wellington City, Wellington ","   320,000km ",   RV/SUV ,   12 ,   Diesel ,,   Manual ,    White ,, :   Imported ,    Nov 2021 ,    Dec 2021 ,$530.00, Reserve met ,https://www.trademe.co.nz/a/motors/cars/ford/transit/listing/3284012173?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2004 Ford F150 ,"Taupo, Waikato ","   217,710km ",   Other ,,   Petrol ,,   Automatic ,    Blue ,, :   Imported ,    Apr 2022 ,    Mar 2022 ,"$36,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/f150/listing/3290810464?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2013 Toyota Hiace   Zl Td ,"Lower Hutt City, Wellington ","   160,000km ",   Van ,   3 ,   Diesel ,,   Manual ,    Red ,    3 owners , :   NZ New ,    Sep 2022 ,    Mar 2022 ,"$27,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/hiace/listing/3284542341?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2007 Mercedes-Benz ML 63   Ml 63 Amg ,"Lower Hutt City, Wellington ","   183,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Jul 2022 ,    Apr 2022 ,"$15,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/mercedes-benz/ml-63/listing/3284445108?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2015 Toyota Axio   Toyota Corolla Axio Hybrid ,"North Shore, Auckland ","   88,750km ",   Sedan ,   5 ,   Hybrid ,,   Automatic ,    Silver ,    1 owner , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$9,750", Reserve met ,https://www.trademe.co.nz/a/motors/cars/toyota/axio/listing/3284510907?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2015 Nissan Leaf ,"Darfield, Canterbury ","   43,900km ",   Hatchback ,   5 ,   Electric ,,   Automatic ,    White ,    1 owner , :   Imported ,    Mar 2022 ,    Feb 2022 ,"$13,800", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/leaf/listing/3284529795?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 1999 Nissan   Van ,"Dunedin, Otago ","   320,000km ",   Van ,   3 ,   Diesel ,,   Manual ,    White ,    5+ owners , :   Imported ,    Expired ,    Dec 2021 ,$152.00, Reserve met ,https://www.trademe.co.nz/a/motors/cars/nissan/vanette/listing/3286909381?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2015 Hyundai iLoad   Crdi ,"Lower Hutt City, Wellington ","   324,000km ",   Van ,   3 ,   Diesel ,,   Automatic ,    White ,    2 owners , :   NZ New ,    Jan 2022 ,    Jan 2022 ,"$17,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/hyundai/iload/listing/3284528748?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2016 BMW X1   S18d 8 speed auto NZ NEW ,"Auckland City, Auckland ","   5,250km ",   RV/SUV ,   5 ,   Diesel ,,   Automatic ,    Black ,    1 owner , :   NZ New ,    Expired ,    Expired ,"$36,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/x1/listing/3284537724?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2010 Mazda Demio ,"Invercargill, Southland ","   48,540km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    Red ,    1 owner , :   Imported ,    Aug 2022 ,    Apr 2022 ,"$8,300", No reserve ,https://www.trademe.co.nz/a/motors/cars/mazda/demio/listing/3274852514?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 1986 Toyota Hilux ,"Balclutha, Otago ","   225,000km ",   Ute ,,   Diesel ,,   Manual ,    White ,,,,,"$1,040", Reserve met ,https://www.trademe.co.nz/a/motors/cars/toyota/hilux/listing/3294056994?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2004 Volkswagen Touareg ,"Christchurch City, Canterbury ","   137,000km ",   Station Wagon ,   5 ,   Petrol ,,,    Silver ,    1 owner , :   Imported ,    May 2022 ,    Jan 2022 ,"$6,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/volkswagen/touareg/listing/3296712896?rsqid=f3c1f36e628042b6a1ffb8c2e64e979b-001
 2007 Nissan SKYLINE   250GT ,"Auckland City, Auckland ","   183,701km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Grey ,    1 owner , :   Imported ,    Aug 2022 ,    Nov 2021 ,"$5,850", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/skyline/listing/3300610103?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2001 Mazda Tribute ,"Wellington City, Wellington ","   154,000km ",   RV/SUV ,,   Petrol ,,   Automatic ,    RED ,    1 owner , :   Imported ,    Expired ,    Expired ,"$5,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/mazda/tribute/listing/3299304156?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2013 Holden COMMODORE   VF SV6 S/W  ,"Palmerston North, Manawatu ","   125,500km ",   Station Wagon ,   5 ,   Petrol ,,   Automatic ,    Green ,, :   NZ New ,    Dec 2021 ,    Jan 2022 ,"$21,990", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/holden/commodore/listing/3293901490?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2013 Ford Mondeo   Zetec 2.0TD ,"Palmerston North, Manawatu ","   159,300km ",   Other ,   5 ,   Diesel ,,   Automatic ,    Black ,, :   NZ New ,    Aug 2022 ,    Jan 2022 ,"$8,990", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/ford/mondeo/listing/3293901767?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2006 Toyota Caldina ,"Auckland City, Auckland ","   159,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Jun 2022 ,    Jan 2022 ,"$4,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/caldina/listing/3285829728?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2007 Nissan Teana ,"Franklin, Auckland ",   200km ,   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,, :   Imported ,,,"$1,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/teana/listing/3296337425?rsqid=416cbed3ed694b49a193315eb3c31443-001
 1990 Chevrolet C1500 ,"Kerikeri, Northland ","   303,099km ",   Ute ,   3 ,   Petrol ,,   Automatic ,    Black ,,,,,"$13,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/chevrolet/c1500/listing/3284419269?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2010 Nissan Teana ,"New Lynn, Auckland ","   105,600km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Grey ,    1 owner , :   Imported ,    Feb 2022 ,    Expired ,"$10,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/teana/listing/3284444542?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2007 Hyundai Elantra ,"Hamilton, Waikato ",   112km ,   Sedan ,   5 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Sep 2022 ,    Apr 2022 ,"$3,200", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/hyundai/elantra/listing/3284456606?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2012 MINI One   NZ New ,"North Shore, Auckland ","   107,900km ",   Hatchback ,   4 ,   Petrol ,,   Manual ,    Red ,    2 owners , :   NZ New ,    Mar 2022 ,    Jan 2022 ,"$8,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/mini/one/listing/3285919884?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2014 Jaguar XF   Luxury Facelift ,"Auckland City, Auckland ","   68,988km ",   Sedan ,,   Petrol ,,,    Silver ,    1 owner , :   Imported ,    Jan 2022 ,    Feb 2022 ,"$19,999", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/jaguar/xf/listing/3284457781?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2006 Ford   Tran ,"Wellington City, Wellington ","   320,000km ",   RV/SUV ,   12 ,   Diesel ,,   Manual ,    White ,, :   Imported ,    Nov 2021 ,    Dec 2021 ,$530.00, Reserve met ,https://www.trademe.co.nz/a/motors/cars/ford/transit/listing/3284012173?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2004 Ford F150 ,"Taupo, Waikato ","   217,710km ",   Other ,,   Petrol ,,   Automatic ,    Blue ,, :   Imported ,    Apr 2022 ,    Mar 2022 ,"$36,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/f150/listing/3290810464?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2013 Toyota Hiace   Zl Td ,"Lower Hutt City, Wellington ","   160,000km ",   Van ,   3 ,   Diesel ,,   Manual ,    Red ,    3 owners , :   NZ New ,    Sep 2022 ,    Mar 2022 ,"$27,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/hiace/listing/3284542341?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2007 Mercedes-Benz ML 63   Ml 63 Amg ,"Lower Hutt City, Wellington ","   183,000km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Jul 2022 ,    Apr 2022 ,"$15,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/mercedes-benz/ml-63/listing/3284445108?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2015 Toyota Axio   Toyota Corolla Axio Hybrid ,"North Shore, Auckland ","   88,750km ",   Sedan ,   5 ,   Hybrid ,,   Automatic ,    Silver ,    1 owner , :   Imported ,    Apr 2022 ,    Apr 2022 ,"$9,750", Reserve met ,https://www.trademe.co.nz/a/motors/cars/toyota/axio/listing/3284510907?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2015 Nissan Leaf ,"Darfield, Canterbury ","   43,900km ",   Hatchback ,   5 ,   Electric ,,   Automatic ,    White ,    1 owner , :   Imported ,    Mar 2022 ,    Feb 2022 ,"$13,800", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/leaf/listing/3284529795?rsqid=416cbed3ed694b49a193315eb3c31443-001
 1999 Nissan   Van ,"Dunedin, Otago ","   320,000km ",   Van ,   3 ,   Diesel ,,   Manual ,    White ,    5+ owners , :   Imported ,    Expired ,    Dec 2021 ,$152.00, Reserve met ,https://www.trademe.co.nz/a/motors/cars/nissan/vanette/listing/3286909381?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2015 Hyundai iLoad   Crdi ,"Lower Hutt City, Wellington ","   324,000km ",   Van ,   3 ,   Diesel ,,   Automatic ,    White ,    2 owners , :   NZ New ,    Jan 2022 ,    Jan 2022 ,"$17,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/hyundai/iload/listing/3284528748?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2016 BMW X1   S18d 8 speed auto NZ NEW ,"Auckland City, Auckland ","   5,250km ",   RV/SUV ,   5 ,   Diesel ,,   Automatic ,    Black ,    1 owner , :   NZ New ,    Expired ,    Expired ,"$36,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/bmw/x1/listing/3284537724?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2010 Mazda Demio ,"Invercargill, Southland ","   48,540km ",   Hatchback ,   5 ,   Petrol ,,   Automatic ,    Red ,    1 owner , :   Imported ,    Aug 2022 ,    Apr 2022 ,"$8,300", No reserve ,https://www.trademe.co.nz/a/motors/cars/mazda/demio/listing/3274852514?rsqid=416cbed3ed694b49a193315eb3c31443-001
 1986 Toyota Hilux ,"Balclutha, Otago ","   225,000km ",   Ute ,,   Diesel ,,   Manual ,    White ,,,,,"$1,040", Reserve met ,https://www.trademe.co.nz/a/motors/cars/toyota/hilux/listing/3294056994?rsqid=416cbed3ed694b49a193315eb3c31443-001
 2012 Audi Q5   2.0 TDI Q S TRONIC NZ NAVIGATION SYSTEM ,"Auckland City, Auckland ","   160,375km ",   RV/SUV ,   5 ,   Diesel ,,   Automatic ,    Silver ,, :   NZ New ,    Jun 2022 ,    Expired ,"$17,990", No reserve ,https://www.trademe.co.nz/a/motors/cars/audi/q5/listing/3298922951?rsqid=2e4e9ca54c3f4a248c7eee8786db4890-001
 2006 Toyota Caldina ,"Auckland City, Auckland ","   159,500km ",   RV/SUV ,   5 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Jun 2022 ,    Jan 2022 ,"$4,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/caldina/listing/3285829728?rsqid=2e4e9ca54c3f4a248c7eee8786db4890-001
 2007 Nissan Teana ,"Franklin, Auckland ",   200km ,   Sedan ,   5 ,   Petrol ,,   Automatic ,    White ,, :   Imported ,,,"$1,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/teana/listing/3296337425?rsqid=2e4e9ca54c3f4a248c7eee8786db4890-001
 1990 Chevrolet C1500 ,"Kerikeri, Northland ","   303,099km ",   Ute ,   3 ,   Petrol ,,   Automatic ,    Black ,,,,,"$13,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/chevrolet/c1500/listing/3284419269?rsqid=2e4e9ca54c3f4a248c7eee8786db4890-001
 2010 Nissan Teana ,"New Lynn, Auckland ","   105,600km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Grey ,    1 owner , :   Imported ,    Feb 2022 ,    Expired ,"$10,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/nissan/teana/listing/3284444542?rsqid=2e4e9ca54c3f4a248c7eee8786db4890-001
 2007 Hyundai Elantra ,"Hamilton, Waikato ",   112km ,   Sedan ,   5 ,   Petrol ,,   Automatic ,    Silver ,, :   NZ New ,    Sep 2022 ,    Apr 2022 ,"$3,200", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/hyundai/elantra/listing/3284456606?rsqid=2e4e9ca54c3f4a248c7eee8786db4890-001
 2012 MINI One   NZ New ,"North Shore, Auckland ","   107,900km ",   Hatchback ,   4 ,   Petrol ,,   Manual ,    Red ,    2 owners , :   NZ New ,    Mar 2022 ,    Jan 2022 ,"$8,500", No reserve ,https://www.trademe.co.nz/a/motors/cars/mini/one/listing/3285919884?rsqid=2e4e9ca54c3f4a248c7eee8786db4890-001
