Title,Location,Km,Body,Seats,Fuel,Engine,Transmission,Colour,Number of owners,Import,Wof,Reg,Final bid,Result,Link
 2004 Volkswagen Touareg ,"Christchurch City, Canterbury ","   137,000km ",   Station Wagon ,   5 ,   Petrol ,,,    Silver ,    1 owner , :   Imported ,    May 2022 ,    Jan 2022 ,"$6,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/volkswagen/touareg/listing/3296712896?rsqid=42fd9fefc0764283be640b5f77461eee-001
 2003 Nissan Teana ,"Hamilton, Waikato ","   168,500km ",   Sedan ,   5 ,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    Dec 2021 ,    Apr 2022 ,"$3,000", Reserve met ,https://www.trademe.co.nz/a/motors/cars/nissan/teana/listing/3294042059?rsqid=42fd9fefc0764283be640b5f77461eee-001
 2006 Nissan Note ,"Hamilton, Waikato ","   126,426km ",   Hatchback ,,   Petrol ,,   Automatic ,    Brown ,    2 owners , :   Imported ,    Dec 2021 ,    Nov 2021 ,"$3,000", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/nissan/note/listing/3294044824?rsqid=42fd9fefc0764283be640b5f77461eee-001
 2003 Toyota Corolla GL  GL  ,"Hamilton, Waikato ","   372,247km ",   Station Wagon ,,   Petrol ,,   Manual ,    White ,    5+ owners , :   NZ New ,    Jan 2022 ,    This month ,"$2,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/toyota/corolla/listing/3294047259?rsqid=42fd9fefc0764283be640b5f77461eee-001
 2000 Mazda MPV   Sport ,"Hamilton, Waikato ","   105,791km ",   RV/SUV ,   7 ,   Petrol ,,   Automatic ,    Red ,    2 owners , :   Imported ,    Feb 2022 ,    Expired ,"$2,500", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mazda/mpv/listing/3294049374?rsqid=42fd9fefc0764283be640b5f77461eee-001
 2012 Jaguar XF   S Luxury ,"Napier, Hawke's Bay ","   140,342km ",   Sedan ,   5 ,   Diesel ,,   Automatic ,    Grey ,, :   NZ New ,    Jan 2022 ,    Dec 2021 ,"$17,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/jaguar/xf/listing/3284558762?rsqid=42fd9fefc0764283be640b5f77461eee-001
 2004 Hyundai Elantra GL  GL  ,"Hamilton, Waikato ","   234,569km ",   Hatchback ,,   Petrol ,,   Manual ,    Red ,    5+ owners , :   NZ New ,    Jul 2022 ,    This month ,"$1,610", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/hyundai/elantra/listing/3294051935?rsqid=42fd9fefc0764283be640b5f77461eee-001
 2001 Mitsubishi Airtrek   2WD ,"Hamilton, Waikato ","   206,363km ",   RV/SUV ,,   Petrol ,,   Automatic ,    Silver ,    2 owners , :   Imported ,    This month ,    This month ,"$1,800", Reserve not met ,https://www.trademe.co.nz/a/motors/cars/mitsubishi/airtrek/listing/3294054438?rsqid=42fd9fefc0764283be640b5f77461eee-001
 2006 Ford   Tran ,"Wellington City, Wellington ","   320,000km ",   RV/SUV ,   12 ,   Diesel ,,   Manual ,    White ,, :   Imported ,    Nov 2021 ,    Dec 2021 ,"$1,660", Reserve met ,https://www.trademe.co.nz/a/motors/cars/ford/transit/listing/3284012173?rsqid=158b02212d4c4a9f9f99740655a59f21-001
 2004 Ford F150 ,"Taupo, Waikato ","   217,710km ",   Other ,,   Petrol ,,   Automatic ,    Blue ,, :   Imported ,    Apr 2022 ,    Mar 2022 ,"$36,000", No reserve ,https://www.trademe.co.nz/a/motors/cars/ford/f150/listing/3290810464?rsqid=158b02212d4c4a9f9f99740655a59f21-001
